1,10,50,100,250,500,1000,2500,5000,full,price,time
46637.115110439474,46638.94966478196,46645.18695352443,46648.59616655288,46681.67578817069,46908.423928640404,47115.40609365653,47697.300780461424,50472.289341940916,131.4083147426978,46639.94,2024-01-11T01:34:43.723Z
46634.82254578478,46636.391003811696,46636.551714554866,46636.11805185699,46635.308153743026,46906.538148330204,47116.3188632567,47691.53858871009,50387.130123712326,131.3975662626748,46607.71,2024-01-11T01:34:44.723Z
46600.07987767744,46600.258070973105,46595.244405720616,46587.979418891526,46619.92713491996,46908.080667381386,47071.92881854533,47705.4800255759,50404.829170209225,131.26502798930247,46601.89,2024-01-11T01:34:45.723Z
46600.00070966248,46600.99503688688,46595.06374306717,46586.020337700065,46620.80874011959,46906.53362848888,47122.43899304602,47709.01758129033,50409.93010684869,131.27433669844322,46596.86,2024-01-11T01:34:46.723Z
46596.89683662058,46593.115917933,46588.86544433433,46577.96391498534,46620.930651100454,46901.32328089649,47121.68580698448,47700.030421466945,50405.27373015485,131.28786386051948,46594.49,2024-01-11T01:34:47.723Z
46597.168119525326,46594.82493736399,46593.69135336961,46592.85731028757,46617.46288361981,46910.487241049435,47122.05197463837,47693.42361807912,50395.126817037235,131.3315306202098,46598.08,2024-01-11T01:34:48.724Z
46596.20470772217,46595.62267248598,46593.86765889587,46588.5798013172,46615.95010926517,46906.7101440684,47116.389690570366,47689.6254167661,50389.301088604705,131.3528849829041,46598.08,2024-01-11T01:34:49.723Z
46593.555497116504,46594.790567330914,46594.788499871625,46591.17691401332,46616.55710296752,46896.4738281844,47103.4987902791,47684.638928996996,50377.084487354055,131.38147909011377,46598.08,2024-01-11T01:34:50.723Z
46598.07968759783,46597.96601959133,46597.57478135001,46593.96561812181,46617.06795643694,46901.5573748788,47104.13077379183,47685.566415710164,50381.61568332721,131.37923046273175,46594.39,2024-01-11T01:34:51.724Z
46596.076946028676,46597.21999646276,46598.4505900648,46593.07302729616,46609.11414105066,46895.093474562906,47100.13212673099,47683.26615253315,50379.22829540888,131.38568881828377,46594.39,2024-01-11T01:34:52.724Z
46604.465076832545,46601.09454422452,46607.47795521772,46605.76359237954,46612.516655761734,46897.27167628852,47107.83561554651,47692.39976262998,50381.6820842673,131.38929667707208,46604.46,2024-01-11T01:34:53.724Z
46603.95403163836,46603.94871171446,46607.396376837576,46605.30666841615,46613.07191115913,46897.18173682926,47108.76057117869,47682.54475339594,50390.112892877834,131.39345467236896,46603.21,2024-01-11T01:34:54.724Z
46604.492986096826,46603.16929064966,46608.44062217365,46606.46369149915,46613.02648010387,46897.79199399739,47109.298743902764,47690.06508241541,50380.98749230415,131.3904669755487,46603.28,2024-01-11T01:34:55.724Z
46596.25014896764,46599.36621895136,46594.33732607011,46595.40144186329,46611.558239176105,46894.64427839368,47105.375964662955,47680.43968209436,50370.98119339936,131.40576306281466,46596.26,2024-01-11T01:34:56.724Z
46593.58514898472,46595.03236445096,46593.36791920372,46592.74889587156,46605.838474100994,46900.22602091608,47106.42837608687,47688.80900534699,50386.558786325055,131.3439439482095,46596.26,2024-01-11T01:34:57.724Z
